"filename", "language", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding_correct\onboarding_widget.dart", "Dart", 92, 0, 12, 8, 112
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding_wrong\onboarding_screen.dart", "Dart", 0, 0, 252, 18, 270
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\onboarding_wrong\page_view_items.dart", "Dart", 0, 0, 49, 0, 49
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\payment\offline_payment\offline_payment_controller.dart.dart", "Dart", 24, 0, 6, 10, 40
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\payment\offline_payment\offline_payment_screen.dart", "Dart", 52, 0, 2, 4, 58
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\payment\offline_payment\qr_code_screen.dart", "Dart", 66, 0, 3, 3, 72
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\payment\top-up\top_up_controller.dart", "Dart", 16, 0, 29, 11, 56
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\payment\top-up\top_up_screen.dart", "Dart", 48, 0, 3, 4, 55
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\profile\profile_controller.dart", "Dart", 26, 0, 6, 9, 41
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\profile\profile_screen.dart", "Dart", 75, 0, 0, 4, 79
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\splash_screen.dart", "Dart", 32, 0, 1, 4, 37
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\transaction\transaction_controller.dart", "Dart", 3, 0, 0, 3, 6
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\transaction\transaction_details\transaction_details_controller.dart", "Dart", 3, 0, 0, 3, 6
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\transaction\transaction_details\transaction_details_screen.dart", "Dart", 125, 0, 4, 8, 137
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\transaction\transaction_screen.dart", "Dart", 48, 0, 0, 6, 54
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\wallet\fund_wallet\fund_wallet_screen.dart", "Dart", 679, 0, 3, 20, 702
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\modules\wallet\transfer_payment\transfer_by_wallet\transfer_screen.dart", "Dart", 173, 0, 43, 11, 227
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\refer_and_earn\refer_and earn_controller.dart", "Dart", 4, 0, 0, 3, 7
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\refer_and_earn\refer_and_earn_screen.dart", "Dart", 230, 0, 7, 17, 254
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\colors.dart", "Dart", 40, 0, 1, 20, 61
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\constants.dart", "Dart", 214, 0, 2, 50, 266
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\custom_icons_icons.dart", "Dart", 7, 0, 15, 4, 26
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\string_constants.dart", "Dart", 44, 0, 0, 7, 51
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\strings.dart", "Dart", 16, 0, 2, 9, 27
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\styles.dart", "Dart", 39, 0, 28, 28, 95
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\styles\color.dart", "Dart", 12, 0, 4, 5, 21
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\styles\extra_style.dart", "Dart", 33, 0, 3, 10, 46
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\styles\fb_button.dart", "Dart", 102, 0, 0, 7, 109
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\styles\text_size.dart", "Dart", 54, 0, 5, 33, 92
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\theme.dart", "Dart", 162, 0, 20, 8, 190
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\validators.dart", "Dart", 116, 0, 0, 16, 132
"c:\Users\Joseph\StudioProjects\fastlink_bills-1\lib\presentation\utils\values.dart", "Dart", 52, 0, 0, 5, 57
